{'train_risk': 0.07990002632141113, 'expected_risk': 0.1323428750038147, 'generalization': 0.052442848682403564}
{'train_risk': 0.14499998092651367, 'expected_risk': 0.17982858419418335, 'generalization': 0.03482860326766968}
{'train_risk': 0.0843999981880188, 'expected_risk': 0.13481426239013672, 'generalization': 0.05041426420211792}
{'train_risk': 0.0845000147819519, 'expected_risk': 0.13625717163085938, 'generalization': 0.05175715684890747}
{'train_risk': 0.05640000104904175, 'expected_risk': 0.11304283142089844, 'generalization': 0.05664283037185669}
{'train_risk': 0.0648999810218811, 'expected_risk': 0.12245714664459229, 'generalization': 0.05755716562271118}
{'train_risk': 0.071399986743927, 'expected_risk': 0.11830002069473267, 'generalization': 0.046900033950805664}
{'train_risk': 0.06000000238418579, 'expected_risk': 0.11617141962051392, 'generalization': 0.056171417236328125}
{'train_risk': 0.07999998331069946, 'expected_risk': 0.12488573789596558, 'generalization': 0.04488575458526611}
{'train_risk': 0.10240000486373901, 'expected_risk': 0.14494287967681885, 'generalization': 0.042542874813079834}
{'train_risk': 0.09820002317428589, 'expected_risk': 0.14481431245803833, 'generalization': 0.04661428928375244}
{'train_risk': 0.05620002746582031, 'expected_risk': 0.11562860012054443, 'generalization': 0.05942857265472412}
{'train_risk': 0.07190001010894775, 'expected_risk': 0.12608569860458374, 'generalization': 0.054185688495635986}
{'train_risk': 0.1535000205039978, 'expected_risk': 0.1882857084274292, 'generalization': 0.034785687923431396}
{'train_risk': 0.05729997158050537, 'expected_risk': 0.1135714054107666, 'generalization': 0.05627143383026123}
{'train_risk': 0.08050000667572021, 'expected_risk': 0.129885733127594, 'generalization': 0.04938572645187378}
{'train_risk': 0.07510000467300415, 'expected_risk': 0.13087141513824463, 'generalization': 0.05577141046524048}
{'train_risk': 0.10509997606277466, 'expected_risk': 0.1501571536064148, 'generalization': 0.04505717754364014}
{'train_risk': 0.04559999704360962, 'expected_risk': 0.10541427135467529, 'generalization': 0.059814274311065674}
{'train_risk': 0.0722000002861023, 'expected_risk': 0.1306142807006836, 'generalization': 0.0584142804145813}
{'train_risk': 0.1363999843597412, 'expected_risk': 0.1718999743461609, 'generalization': 0.03549998998641968}
{'train_risk': 0.10759997367858887, 'expected_risk': 0.15105712413787842, 'generalization': 0.04345715045928955}
{'train_risk': 0.10559999942779541, 'expected_risk': 0.14631426334381104, 'generalization': 0.040714263916015625}
{'train_risk': 0.07120001316070557, 'expected_risk': 0.12177145481109619, 'generalization': 0.050571441650390625}
{'train_risk': 0.07649999856948853, 'expected_risk': 0.13207143545150757, 'generalization': 0.05557143688201904}
{'train_risk': 0.07020002603530884, 'expected_risk': 0.11947143077850342, 'generalization': 0.04927140474319458}
{'train_risk': 0.07080000638961792, 'expected_risk': 0.12209999561309814, 'generalization': 0.051299989223480225}
{'train_risk': 0.06339997053146362, 'expected_risk': 0.12037140130996704, 'generalization': 0.05697143077850342}
{'train_risk': 0.06669998168945312, 'expected_risk': 0.11981427669525146, 'generalization': 0.05311429500579834}
{'train_risk': 0.05769997835159302, 'expected_risk': 0.11214286088943481, 'generalization': 0.0544428825378418}
{'train_risk': 0.059599995613098145, 'expected_risk': 0.11651426553726196, 'generalization': 0.05691426992416382}
{'train_risk': 0.10839998722076416, 'expected_risk': 0.15814286470413208, 'generalization': 0.04974287748336792}
{'train_risk': 0.08649998903274536, 'expected_risk': 0.13467144966125488, 'generalization': 0.04817146062850952}
{'train_risk': 0.0723000168800354, 'expected_risk': 0.12308573722839355, 'generalization': 0.050785720348358154}
{'train_risk': 0.06679999828338623, 'expected_risk': 0.11661428213119507, 'generalization': 0.04981428384780884}
{'train_risk': 0.09609997272491455, 'expected_risk': 0.14012855291366577, 'generalization': 0.04402858018875122}
{'train_risk': 0.09939998388290405, 'expected_risk': 0.14752858877182007, 'generalization': 0.048128604888916016}
{'train_risk': 0.06199997663497925, 'expected_risk': 0.1216428279876709, 'generalization': 0.05964285135269165}
{'train_risk': 0.07889997959136963, 'expected_risk': 0.1284428834915161, 'generalization': 0.049542903900146484}
{'train_risk': 0.080299973487854, 'expected_risk': 0.1305714249610901, 'generalization': 0.050271451473236084}
{'train_risk': 0.07200002670288086, 'expected_risk': 0.12378573417663574, 'generalization': 0.05178570747375488}
{'train_risk': 0.08259999752044678, 'expected_risk': 0.12708568572998047, 'generalization': 0.04448568820953369}
{'train_risk': 0.08929997682571411, 'expected_risk': 0.13774287700653076, 'generalization': 0.04844290018081665}
{'train_risk': 0.0625, 'expected_risk': 0.11645716428756714, 'generalization': 0.05395716428756714}
{'train_risk': 0.0526999831199646, 'expected_risk': 0.10918569564819336, 'generalization': 0.05648571252822876}
{'train_risk': 0.06739997863769531, 'expected_risk': 0.11430001258850098, 'generalization': 0.046900033950805664}
{'train_risk': 0.07950001955032349, 'expected_risk': 0.12832856178283691, 'generalization': 0.04882854223251343}
{'train_risk': 0.08170002698898315, 'expected_risk': 0.13454288244247437, 'generalization': 0.05284285545349121}
{'train_risk': 0.07319998741149902, 'expected_risk': 0.12372857332229614, 'generalization': 0.05052858591079712}
{'train_risk': 0.06199997663497925, 'expected_risk': 0.11009997129440308, 'generalization': 0.04809999465942383}
{'train_risk': 0.08410000801086426, 'expected_risk': 0.129885733127594, 'generalization': 0.045785725116729736}
{'train_risk': 0.06029999256134033, 'expected_risk': 0.12072855234146118, 'generalization': 0.06042855978012085}
{'train_risk': 0.07690000534057617, 'expected_risk': 0.12624287605285645, 'generalization': 0.04934287071228027}
{'train_risk': 0.07020002603530884, 'expected_risk': 0.12010002136230469, 'generalization': 0.04989999532699585}
{'train_risk': 0.09429997205734253, 'expected_risk': 0.13978570699691772, 'generalization': 0.045485734939575195}
{'train_risk': 0.07829999923706055, 'expected_risk': 0.13285714387893677, 'generalization': 0.05455714464187622}
{'train_risk': 0.05699998140335083, 'expected_risk': 0.11022859811782837, 'generalization': 0.05322861671447754, 'test_risk': 0.11808224293061995, 'train_unique_risk': 0.05900055170059204}
